name,illumination,contrast,clarity,artifacts,field,quality,left,right,left_or_right,fundus_image_type,source,image_path
img00001,1,1,1,1,1,1,0.0,1.0,right,standard,brset,/N/project/retinal_images/datasets/physionet.org/content/brazilian-ophthalmological/get-zip/1.0.1/a-brazilian-multilabel-ophthalmological-dataset-brset-1.0.1/fundus_photos/img00001.jpg
img00002,1,1,1,1,1,1,1.0,0.0,left,standard,brset,/N/project/retinal_images/datasets/physionet.org/content/brazilian-ophthalmological/get-zip/1.0.1/a-brazilian-multilabel-ophthalmological-dataset-brset-1.0.1/fundus_photos/img00002.jpg
img00003,1,1,1,1,1,1,0.0,1.0,right,standard,brset,/N/project/retinal_images/datasets/physionet.org/content/brazilian-ophthalmological/get-zip/1.0.1/a-brazilian-multilabel-ophthalmological-dataset-brset-1.0.1/fundus_photos/img00003.jpg
img00004,1,1,1,1,1,1,1.0,0.0,left,standard,brset,/N/project/retinal_images/datasets/physionet.org/content/brazilian-ophthalmological/get-zip/1.0.1/a-brazilian-multilabel-ophthalmological-dataset-brset-1.0.1/fundus_photos/img00004.jpg
img00005,1,1,1,1,1,1,0.0,1.0,right,standard,brset,/N/project/retinal_images/datasets/physionet.org/content/brazilian-ophthalmological/get-zip/1.0.1/a-brazilian-multilabel-ophthalmological-dataset-brset-1.0.1/fundus_photos/img00005.jpg
img00006,1,1,1,1,1,1,1.0,0.0,left,standard,brset,/N/project/retinal_images/datasets/physionet.org/content/brazilian-ophthalmological/get-zip/1.0.1/a-brazilian-multilabel-ophthalmological-dataset-brset-1.0.1/fundus_photos/img00006.jpg
img00007,1,1,1,1,1,1,0.0,1.0,right,standard,brset,/N/project/retinal_images/datasets/physionet.org/content/brazilian-ophthalmological/get-zip/1.0.1/a-brazilian-multilabel-ophthalmological-dataset-brset-1.0.1/fundus_photos/img00007.jpg
img00008,1,1,1,1,1,1,1.0,0.0,left,standard,brset,/N/project/retinal_images/datasets/physionet.org/content/brazilian-ophthalmological/get-zip/1.0.1/a-brazilian-multilabel-ophthalmological-dataset-brset-1.0.1/fundus_photos/img00008.jpg
img00009,1,1,1,1,1,1,0.0,1.0,right,standard,brset,/N/project/retinal_images/datasets/physionet.org/content/brazilian-ophthalmological/get-zip/1.0.1/a-brazilian-multilabel-ophthalmological-dataset-brset-1.0.1/fundus_photos/img00009.jpg
img00010,1,1,1,1,1,1,1.0,0.0,left,standard,brset,/N/project/retinal_images/datasets/physionet.org/content/brazilian-ophthalmological/get-zip/1.0.1/a-brazilian-multilabel-ophthalmological-dataset-brset-1.0.1/fundus_photos/img00010.jpg
img00011,1,1,1,1,1,1,0.0,1.0,right,standard,brset,/N/project/retinal_images/datasets/physionet.org/content/brazilian-ophthalmological/get-zip/1.0.1/a-brazilian-multilabel-ophthalmological-dataset-brset-1.0.1/fundus_photos/img00011.jpg
img00012,1,1,1,1,1,1,1.0,0.0,left,standard,brset,/N/project/retinal_images/datasets/physionet.org/content/brazilian-ophthalmological/get-zip/1.0.1/a-brazilian-multilabel-ophthalmological-dataset-brset-1.0.1/fundus_photos/img00012.jpg
img00013,1,1,1,1,1,1,0.0,1.0,right,standard,brset,/N/project/retinal_images/datasets/physionet.org/content/brazilian-ophthalmological/get-zip/1.0.1/a-brazilian-multilabel-ophthalmological-dataset-brset-1.0.1/fundus_photos/img00013.jpg
img00014,1,1,1,1,1,1,1.0,0.0,left,standard,brset,/N/project/retinal_images/datasets/physionet.org/content/brazilian-ophthalmological/get-zip/1.0.1/a-brazilian-multilabel-ophthalmological-dataset-brset-1.0.1/fundus_photos/img00014.jpg
img00015,1,1,1,1,1,1,0.0,1.0,right,standard,brset,/N/project/retinal_images/datasets/physionet.org/content/brazilian-ophthalmological/get-zip/1.0.1/a-brazilian-multilabel-ophthalmological-dataset-brset-1.0.1/fundus_photos/img00015.jpg
img00016,1,1,1,1,1,1,1.0,0.0,left,standard,brset,/N/project/retinal_images/datasets/physionet.org/content/brazilian-ophthalmological/get-zip/1.0.1/a-brazilian-multilabel-ophthalmological-dataset-brset-1.0.1/fundus_photos/img00016.jpg
img00017,1,1,1,1,1,1,0.0,1.0,right,standard,brset,/N/project/retinal_images/datasets/physionet.org/content/brazilian-ophthalmological/get-zip/1.0.1/a-brazilian-multilabel-ophthalmological-dataset-brset-1.0.1/fundus_photos/img00017.jpg
img00018,1,1,1,1,1,1,1.0,0.0,left,standard,brset,/N/project/retinal_images/datasets/physionet.org/content/brazilian-ophthalmological/get-zip/1.0.1/a-brazilian-multilabel-ophthalmological-dataset-brset-1.0.1/fundus_photos/img00018.jpg
img00019,1,1,1,1,1,1,0.0,1.0,right,standard,brset,/N/project/retinal_images/datasets/physionet.org/content/brazilian-ophthalmological/get-zip/1.0.1/a-brazilian-multilabel-ophthalmological-dataset-brset-1.0.1/fundus_photos/img00019.jpg
img00020,1,1,1,1,1,1,1.0,0.0,left,standard,brset,/N/project/retinal_images/datasets/physionet.org/content/brazilian-ophthalmological/get-zip/1.0.1/a-brazilian-multilabel-ophthalmological-dataset-brset-1.0.1/fundus_photos/img00020.jpg
img00021,1,1,1,1,1,1,0.0,1.0,right,standard,brset,/N/project/retinal_images/datasets/physionet.org/content/brazilian-ophthalmological/get-zip/1.0.1/a-brazilian-multilabel-ophthalmological-dataset-brset-1.0.1/fundus_photos/img00021.jpg
img00022,1,1,1,1,1,1,1.0,0.0,left,standard,brset,/N/project/retinal_images/datasets/physionet.org/content/brazilian-ophthalmological/get-zip/1.0.1/a-brazilian-multilabel-ophthalmological-dataset-brset-1.0.1/fundus_photos/img00022.jpg
