name,illumination,contrast,clarity,artifacts,field,quality,left,right,left_or_right,fundus_image_type,source,image_path
1_A,1,1,1,1,1,1,0.0,1.0,right,standard,fives,/N/project/retinal_images/datasets/fives/train/Original/1_A.png
2_A,1,1,1,1,1,1,1.0,0.0,left,standard,fives,/N/project/retinal_images/datasets/fives/train/Original/2_A.png
3_A,1,1,1,1,1,1,1.0,0.0,left,standard,fives,/N/project/retinal_images/datasets/fives/train/Original/3_A.png
4_A,1,1,1,1,1,1,1.0,0.0,left,standard,fives,/N/project/retinal_images/datasets/fives/train/Original/4_A.png
5_A,1,1,1,1,1,1,1.0,0.0,left,standard,fives,/N/project/retinal_images/datasets/fives/train/Original/5_A.png
6_A,1,1,1,1,1,1,0.0,1.0,right,standard,fives,/N/project/retinal_images/datasets/fives/train/Original/6_A.png
7_A,1,1,1,1,1,1,0.0,1.0,right,standard,fives,/N/project/retinal_images/datasets/fives/train/Original/7_A.png
8_A,1,1,1,1,1,1,1.0,0.0,left,standard,fives,/N/project/retinal_images/datasets/fives/train/Original/8_A.png
9_A,1,1,1,1,1,1,0.0,1.0,right,standard,fives,/N/project/retinal_images/datasets/fives/train/Original/9_A.png
10_A,1,1,1,1,1,1,1.0,0.0,left,standard,fives,/N/project/retinal_images/datasets/fives/train/Original/10_A.png
11_A,1,1,1,1,1,1,1.0,0.0,left,standard,fives,/N/project/retinal_images/datasets/fives/train/Original/11_A.png
12_A,1,1,1,1,1,1,0.0,1.0,right,standard,fives,/N/project/retinal_images/datasets/fives/train/Original/12_A.png
13_A,1,1,1,1,1,1,1.0,0.0,left,standard,fives,/N/project/retinal_images/datasets/fives/train/Original/13_A.png
14_A,1,1,1,1,1,1,0.0,1.0,right,standard,fives,/N/project/retinal_images/datasets/fives/train/Original/14_A.png
15_A,1,1,1,1,1,1,1.0,0.0,left,standard,fives,/N/project/retinal_images/datasets/fives/train/Original/15_A.png
16_A,1,1,1,1,1,1,0.0,1.0,right,standard,fives,/N/project/retinal_images/datasets/fives/train/Original/16_A.png
17_A,1,1,1,1,1,1,1.0,0.0,left,standard,fives,/N/project/retinal_images/datasets/fives/train/Original/17_A.png
18_A,1,1,1,1,1,1,0.0,1.0,right,standard,fives,/N/project/retinal_images/datasets/fives/train/Original/18_A.png
19_A,1,1,1,1,1,1,1.0,0.0,left,standard,fives,/N/project/retinal_images/datasets/fives/train/Original/19_A.png
20_A,1,1,1,1,1,1,0.0,1.0,right,standard,fives,/N/project/retinal_images/datasets/fives/train/Original/20_A.png
21_A,1,1,1,1,1,1,1.0,0.0,left,standard,fives,/N/project/retinal_images/datasets/fives/train/Original/21_A.png
22_A,1,1,1,1,1,1,1.0,0.0,left,standard,fives,/N/project/retinal_images/datasets/fives/train/Original/22_A.png
23_A,1,1,1,1,1,1,0.0,1.0,right,standard,fives,/N/project/retinal_images/datasets/fives/train/Original/23_A.png
24_A,1,1,1,1,1,1,1.0,0.0,left,standard,fives,/N/project/retinal_images/datasets/fives/train/Original/24_A.png
25_A,1,1,1,1,1,1,0.0,1.0,right,standard,fives,/N/project/retinal_images/datasets/fives/train/Original/25_A.png
26_A,1,1,1,1,1,1,0.0,1.0,right,standard,fives,/N/project/retinal_images/datasets/fives/train/Original/26_A.png
27_A,1,1,1,1,1,1,0.0,1.0,right,standard,fives,/N/project/retinal_images/datasets/fives/train/Original/27_A.png
28_A,1,1,1,1,1,1,0.0,1.0,right,standard,fives,/N/project/retinal_images/datasets/fives/train/Original/28_A.png
29_A,0,1,0,1,1,1,1.0,0.0,left,standard,fives,/N/project/retinal_images/datasets/fives/train/Original/29_A.png
30_A,1,1,1,1,1,1,0.0,1.0,right,standard,fives,/N/project/retinal_images/datasets/fives/train/Original/30_A.png
31_A,1,1,1,1,1,1,0.0,1.0,right,standard,fives,/N/project/retinal_images/datasets/fives/train/Original/31_A.png
32_A,1,1,1,1,1,1,1.0,0.0,left,standard,fives,/N/project/retinal_images/datasets/fives/train/Original/32_A.png
33_A,1,1,1,1,1,1,1.0,0.0,left,standard,fives,/N/project/retinal_images/datasets/fives/train/Original/33_A.png
34_A,1,1,1,1,1,1,0.0,1.0,right,standard,fives,/N/project/retinal_images/datasets/fives/train/Original/34_A.png
35_A,1,1,1,1,1,1,1.0,0.0,left,standard,fives,/N/project/retinal_images/datasets/fives/train/Original/35_A.png
36_A,1,1,1,1,1,1,0.0,1.0,right,standard,fives,/N/project/retinal_images/datasets/fives/train/Original/36_A.png
37_A,1,1,1,1,1,1,0.0,1.0,right,standard,fives,/N/project/retinal_images/datasets/fives/train/Original/37_A.png
38_A,1,1,1,1,1,1,1.0,0.0,left,standard,fives,/N/project/retinal_images/datasets/fives/train/Original/38_A.png
39_A,1,1,1,1,1,1,1.0,0.0,left,standard,fives,/N/project/retinal_images/datasets/fives/train/Original/39_A.png
40_A,1,1,1,1,1,1,1.0,0.0,left,standard,fives,/N/project/retinal_images/datasets/fives/train/Original/40_A.png
41_A,1,1,1,1,1,1,1.0,0.0,left,standard,fives,/N/project/retinal_images/datasets/fives/train/Original/41_A.png
42_A,1,1,1,1,1,1,1.0,0.0,left,standard,fives,/N/project/retinal_images/datasets/fives/train/Original/42_A.png
43_A,1,1,1,1,1,1,0.0,1.0,right,standard,fives,/N/project/retinal_images/datasets/fives/train/Original/43_A.png
44_A,1,1,0,1,1,1,1.0,0.0,left,standard,fives,/N/project/retinal_images/datasets/fives/train/Original/44_A.png
45_A,1,1,1,1,1,1,0.0,1.0,right,standard,fives,/N/project/retinal_images/datasets/fives/train/Original/45_A.png
46_A,1,1,1,1,1,1,1.0,0.0,left,standard,fives,/N/project/retinal_images/datasets/fives/train/Original/46_A.png
47_A,1,1,1,1,1,1,0.0,1.0,right,standard,fives,/N/project/retinal_images/datasets/fives/train/Original/47_A.png
48_A,1,1,1,1,1,1,1.0,0.0,left,standard,fives,/N/project/retinal_images/datasets/fives/train/Original/48_A.png
49_A,1,1,1,1,1,1,1.0,0.0,left,standard,fives,/N/project/retinal_images/datasets/fives/train/Original/49_A.png
50_A,1,1,1,1,1,1,0.0,1.0,right,standard,fives,/N/project/retinal_images/datasets/fives/train/Original/50_A.png
51_A,1,1,1,1,1,1,1.0,0.0,left,standard,fives,/N/project/retinal_images/datasets/fives/train/Original/51_A.png
52_A,1,1,1,1,1,1,1.0,0.0,left,standard,fives,/N/project/retinal_images/datasets/fives/train/Original/52_A.png
53_A,1,1,1,1,1,1,0.0,1.0,right,standard,fives,/N/project/retinal_images/datasets/fives/train/Original/53_A.png
54_A,1,1,1,1,1,1,1.0,0.0,left,standard,fives,/N/project/retinal_images/datasets/fives/train/Original/54_A.png
55_A,1,1,1,1,1,1,0.0,1.0,right,standard,fives,/N/project/retinal_images/datasets/fives/train/Original/55_A.png
56_A,1,1,1,1,1,1,1.0,0.0,left,standard,fives,/N/project/retinal_images/datasets/fives/train/Original/56_A.png
57_A,1,1,1,1,1,1,0.0,1.0,right,standard,fives,/N/project/retinal_images/datasets/fives/train/Original/57_A.png
58_A,1,1,1,1,1,1,0.0,1.0,right,standard,fives,/N/project/retinal_images/datasets/fives/train/Original/58_A.png
59_A,1,1,0,1,1,1,0.0,1.0,right,standard,fives,/N/project/retinal_images/datasets/fives/train/Original/59_A.png
60_A,1,1,1,1,1,1,0.0,1.0,right,standard,fives,/N/project/retinal_images/datasets/fives/train/Original/60_A.png
61_A,1,1,1,1,1,1,1.0,0.0,left,standard,fives,/N/project/retinal_images/datasets/fives/train/Original/61_A.png
62_A,1,1,1,1,1,1,1.0,0.0,left,standard,fives,/N/project/retinal_images/datasets/fives/train/Original/62_A.png
63_A,1,1,1,1,1,1,1.0,0.0,left,standard,fives,/N/project/retinal_images/datasets/fives/train/Original/63_A.png
64_A,1,1,1,1,1,1,1.0,0.0,left,standard,fives,/N/project/retinal_images/datasets/fives/train/Original/64_A.png
