Name,Illumination,Contrast,Clarity,Artifacts,Field,Left,Right,left_or_right,fundus_image_type,Quality
img00001,1,1,1,1,1,0,1,right,standard,1
img00002,1,1,1,1,1,1,0,left,standard,1
img00003,1,1,1,1,1,0,1,right,standard,1
img00004,1,1,1,1,1,1,0,left,standard,1
img00005,1,1,1,1,1,0,1,right,standard,1
img00006,1,1,1,1,1,1,0,left,standard,1
img00007,1,1,1,1,1,0,1,right,standard,1
img00008,1,1,1,1,1,1,0,left,standard,1
img00009,1,1,1,1,1,0,1,right,standard,1
img00010,1,1,1,1,1,1,0,left,standard,1
img00011,1,1,1,1,1,0,1,right,standard,1
img00012,1,1,1,1,1,1,0,left,standard,1
img00013,1,1,1,1,1,0,1,right,standard,1
img00014,1,1,1,1,1,1,0,left,standard,1
img00015,1,1,1,1,1,0,1,right,standard,1
img00016,1,1,1,1,1,1,0,left,standard,1
img00017,1,1,1,1,1,0,1,right,standard,1
img00018,1,1,1,1,1,1,0,left,standard,1
img00019,1,1,1,1,1,0,1,right,standard,1
img00020,1,1,1,1,1,1,0,left,standard,1
img00021,1,1,1,1,1,0,1,right,standard,1
img00022,1,1,1,1,1,1,0,left,standard,1
img00023,1,1,1,1,1,0,1,right,standard,1
img00024,1,1,1,1,1,0,1,right,standard,1
img00025,1,1,1,1,1,0,1,right,standard,1
img00026,1,1,1,1,1,1,0,left,standard,1
img00027,1,1,1,1,1,0,1,right,standard,1
img00028,1,1,1,1,1,1,0,left,standard,1
img00029,1,1,1,1,1,0,1,right,standard,1
img00030,1,1,1,1,1,1,0,left,standard,1
img00031,1,1,1,1,1,0,1,right,standard,1
img00032,1,1,1,1,1,1,0,left,standard,1
img00033,1,1,1,1,1,0,1,right,standard,1
img00034,1,1,1,1,1,1,0,left,standard,1
img00035,1,1,1,1,1,0,1,right,standard,1
img00036,1,1,1,1,1,1,0,left,standard,1
img00037,1,1,1,1,1,0,1,right,standard,1
img00038,1,1,1,1,1,1,0,left,standard,1
img00039,1,1,1,1,1,0,1,right,standard,1
img00040,1,1,1,1,1,1,0,left,standard,1
img00041,1,1,1,1,1,0,1,right,standard,1
img00042,1,1,1,1,1,1,0,left,standard,1
img00043,1,1,1,1,1,0,1,right,standard,1
img00044,1,1,1,1,1,1,0,left,standard,1
img00045,1,1,1,1,1,0,1,right,standard,1
img00046,1,1,1,1,1,1,0,left,standard,1
img00047,1,1,1,1,1,0,1,right,standard,1
img00048,1,1,1,1,1,1,0,left,standard,1
img00049,1,1,1,1,1,0,1,right,standard,1
img00050,1,1,1,1,1,1,0,left,standard,1
img00051,1,1,1,1,1,0,1,right,standard,1
img00052,1,1,1,1,1,1,0,left,standard,1
img00053,1,1,1,1,1,0,1,right,standard,1
img00054,1,1,1,1,1,0,1,right,standard,1
img00055,1,1,1,1,1,1,0,left,standard,1
img00056,1,1,1,1,1,0,1,right,standard,1
img00057,1,1,1,1,1,1,0,left,standard,1
img00058,1,1,1,1,1,0,1,right,standard,1
img00059,1,1,1,1,1,1,0,left,standard,1
img00060,1,1,1,1,1,0,1,right,standard,1
img00061,1,1,1,1,1,1,0,left,standard,1
img00062,1,1,1,1,1,0,1,right,standard,1
img00063,1,1,1,1,1,1,0,left,standard,1
img00064,1,1,1,1,1,0,1,right,standard,1
img00065,1,1,1,1,1,1,0,left,standard,1
img00066,1,1,1,1,1,0,1,right,standard,1
img00067,1,1,1,1,1,1,0,left,standard,1
img00068,1,1,1,1,1,0,1,right,standard,1
img00069,1,1,1,1,1,1,0,left,standard,1
img00070,1,1,1,1,1,0,1,right,standard,1
img00071,1,1,1,1,1,1,0,left,standard,1
img00072,1,1,1,1,1,0,1,right,standard,1
img00073,1,1,1,1,1,1,0,left,standard,1
img00074,1,1,1,1,1,0,1,right,standard,1
