Name,Illumination,Contrast,Clarity,Artifacts,Field,Quality,Left,Right,left_or_right,fundus_image_type
1_A,1,1,1,1,1,1,0,1,right,standard
2_A,1,1,1,1,1,1,1,0,left,standard
3_A,1,1,1,1,1,1,1,0,left,standard
4_A,1,1,1,1,1,1,1,0,left,standard
5_A,1,1,1,1,1,1,1,0,left,standard
6_A,1,1,1,1,1,1,0,1,right,standard
7_A,1,1,1,1,1,1,0,1,right,standard
8_A,1,1,1,1,1,1,1,0,left,standard
9_A,1,1,1,1,1,1,0,1,right,standard
10_A,1,1,1,1,1,1,1,0,left,standard
11_A,1,1,1,1,1,1,1,0,left,standard
12_A,1,1,1,1,1,1,0,1,right,standard
13_A,1,1,1,1,1,1,1,0,left,standard
14_A,1,1,1,1,1,1,0,1,right,standard
15_A,1,1,1,1,1,1,1,0,left,standard
16_A,1,1,1,1,1,1,0,1,right,standard
17_A,1,1,1,1,1,1,1,0,left,standard
18_A,1,1,1,1,1,1,0,1,right,standard
19_A,1,1,1,1,1,1,1,0,left,standard
20_A,1,1,1,1,1,1,0,1,right,standard
21_A,1,1,1,1,1,1,1,0,left,standard
22_A,1,1,1,1,1,1,1,0,left,standard
23_A,1,1,1,1,1,1,0,1,right,standard
24_A,1,1,1,1,1,1,1,0,left,standard
25_A,1,1,1,1,1,1,0,1,right,standard
26_A,1,1,1,1,1,1,0,1,right,standard
27_A,1,1,1,1,1,1,0,1,right,standard
28_A,1,1,1,1,1,1,0,1,right,standard
29_A,0,1,0,1,1,1,1,0,left,standard
30_A,1,1,1,1,1,1,0,1,right,standard
31_A,1,1,1,1,1,1,0,1,right,standard
32_A,1,1,1,1,1,1,1,0,left,standard
33_A,1,1,1,1,1,1,1,0,left,standard
34_A,1,1,1,1,1,1,0,1,right,standard
35_A,1,1,1,1,1,1,1,0,left,standard
36_A,1,1,1,1,1,1,0,1,right,standard
37_A,1,1,1,1,1,1,0,1,right,standard
38_A,1,1,1,1,1,1,1,0,left,standard
39_A,1,1,1,1,1,1,1,0,left,standard
40_A,1,1,1,1,1,1,1,0,left,standard
41_A,1,1,1,1,1,1,1,0,left,standard
42_A,1,1,1,1,1,1,1,0,left,standard
43_A,1,1,1,1,1,1,0,1,right,standard
44_A,1,1,0,1,1,1,1,0,left,standard
45_A,1,1,1,1,1,1,0,1,right,standard
46_A,1,1,1,1,1,1,1,0,left,standard
47_A,1,1,1,1,1,1,0,1,right,standard
48_A,1,1,1,1,1,1,1,0,left,standard
49_A,1,1,1,1,1,1,1,0,left,standard
50_A,1,1,1,1,1,1,0,1,right,standard
51_A,1,1,1,1,1,1,1,0,left,standard
52_A,1,1,1,1,1,1,1,0,left,standard
53_A,1,1,1,1,1,1,0,1,right,standard
54_A,1,1,1,1,1,1,1,0,left,standard
55_A,1,1,1,1,1,1,0,1,right,standard
56_A,1,1,1,1,1,1,1,0,left,standard
57_A,1,1,1,1,1,1,0,1,right,standard
