name,illumination,contrast,clarity,artifacts,field,quality,left,right,left_or_right,fundus_image_type,source
Glaucoma-1,0,0,0,1,1,0,1,0,left,standard,mshf
Glaucoma-2,0,0,0,1,1,0,1,0,left,standard,mshf
Glaucoma-3,0,0,0,1,1,0,0,1,right,standard,mshf
Glaucoma-4,0,0,0,1,1,0,0,1,right,standard,mshf
Glaucoma-5,1,1,0,1,1,0,1,0,left,standard,mshf
Glaucoma-6,0,0,0,1,1,1,1,0,left,standard,mshf
Glaucoma-7,0,0,0,1,1,0,0,1,right,standard,mshf
Glaucoma-8,0,0,1,1,1,0,0,1,right,standard,mshf
Glaucoma-9,1,1,1,1,1,1,1,0,left,standard,mshf
Glaucoma-10,0,1,1,1,1,1,0,1,right,standard,mshf
Glaucoma-11,0,0,0,1,1,0,1,0,left,standard,mshf
Glaucoma-12,0,0,0,1,1,0,0,1,right,standard,mshf
Glaucoma-13,0,1,1,1,1,1,0,1,right,standard,mshf
Glaucoma-14,0,0,0,1,1,0,0,1,right,standard,mshf
Glaucoma-15,1,1,0,1,1,1,1,0,left,standard,mshf
Glaucoma-16,0,0,0,1,1,0,0,1,right,standard,mshf
Glaucoma-17,0,0,0,1,1,0,0,1,right,standard,mshf
Glaucoma-18,0,0,0,1,1,0,0,1,right,standard,mshf
Glaucoma-19,0,0,0,1,1,0,0,1,right,standard,mshf
Glaucoma-20,0,0,0,1,1,0,0,1,right,standard,mshf
Glaucoma-21,0,0,0,1,1,0,1,0,left,standard,mshf
Glaucoma-22,0,0,0,1,1,0,0,1,right,standard,mshf
Glaucoma-23,0,0,0,1,1,0,1,0,left,standard,mshf
Glaucoma-24,0,0,0,1,1,0,0,1,right,standard,mshf
Glaucoma-25,1,0,0,1,1,1,1,0,left,standard,mshf
Glaucoma-26,1,1,0,1,1,1,1,0,left,standard,mshf
Glaucoma-27,0,0,0,1,1,0,1,0,left,standard,mshf
Glaucoma-28,0,0,0,1,1,0,0,1,right,standard,mshf
Glaucoma-29,0,0,0,1,1,0,1,0,left,standard,mshf
Glaucoma-30,0,1,0,0,1,0,1,0,left,standard,mshf
Glaucoma-31,0,0,0,1,1,0,1,0,left,standard,mshf
Glaucoma-32,0,0,0,1,1,0,0,1,right,standard,mshf
Glaucoma-33,0,0,0,1,1,0,1,0,left,standard,mshf
Glaucoma-34,0,0,0,0,1,0,0,1,right,standard,mshf
Glaucoma-35,0,1,0,1,1,0,1,0,left,standard,mshf
Glaucoma-36,0,1,0,1,1,0,1,0,left,standard,mshf
Glaucoma-37,1,1,0,1,1,0,0,1,right,standard,mshf
Glaucoma-38,0,0,0,0,1,0,0,1,right,standard,mshf
Glaucoma-39,0,0,0,0,1,0,0,1,right,standard,mshf
Glaucoma-40,0,0,0,0,1,0,0,1,right,standard,mshf
Glaucoma-41,1,0,0,1,1,0,0,1,right,standard,mshf
Glaucoma-42,0,0,0,1,1,0,0,1,right,standard,mshf
Glaucoma-43,0,0,0,1,1,0,1,0,left,standard,mshf
Glaucoma-44,0,0,0,1,1,0,1,0,left,standard,mshf
Glaucoma-45,0,0,0,1,1,0,1,0,left,standard,mshf
Glaucoma-46,0,0,0,1,1,0,0,1,right,standard,mshf
Glaucoma-47,0,0,0,1,1,0,0,1,right,standard,mshf
Glaucoma-48,0,0,0,1,1,0,0,1,right,standard,mshf
Glaucoma-49,0,0,0,1,1,0,1,0,left,standard,mshf
Glaucoma-50,0,0,0,0,1,0,0,1,right,standard,mshf
Glaucoma-51,0,0,0,1,1,0,0,1,right,standard,mshf
Glaucoma-52,0,0,0,1,1,0,1,0,left,standard,mshf
Healthy-1,1,1,1,1,1,1,0,1,right,standard,mshf
Healthy-2,1,1,1,1,1,1,0,1,right,standard,mshf
Healthy-3,1,1,1,1,1,1,0,1,right,standard,mshf
Healthy-4,1,1,1,1,1,1,0,1,right,standard,mshf
Healthy-5,1,1,1,1,1,1,1,0,left,standard,mshf
Healthy-6,1,1,1,1,1,1,1,0,left,standard,mshf
Healthy-7,1,1,1,1,1,1,1,0,left,standard,mshf
Healthy-8,0,1,1,1,1,1,1,0,left,standard,mshf
Healthy-9,0,1,1,1,1,1,0,1,right,standard,mshf
Healthy-10,1,1,1,1,1,1,0,1,right,standard,mshf
Healthy-11,1,1,1,1,1,1,1,0,left,standard,mshf
Healthy-12,1,1,1,1,1,1,0,1,right,standard,mshf
Healthy-13,1,1,1,1,1,1,1,0,left,standard,mshf
Healthy-14,1,1,1,1,1,1,0,1,right,standard,mshf
Healthy-15,1,1,1,1,1,1,1,0,left,standard,mshf
Healthy-16,1,1,1,1,1,1,0,1,right,standard,mshf
Healthy-17,1,1,1,1,1,1,1,0,left,standard,mshf
Healthy-18,1,1,1,1,1,1,0,1,right,standard,mshf
Healthy-19,1,1,1,1,1,1,1,0,left,standard,mshf
Healthy-20,1,1,1,1,1,1,1,0,left,standard,mshf
Healthy-21,1,1,1,1,1,1,0,1,right,standard,mshf
Healthy-22,1,1,1,1,1,1,1,0,left,standard,mshf
Healthy-23,1,1,1,1,1,1,1,0,left,standard,mshf
Healthy-24,1,1,1,1,1,1,0,1,right,standard,mshf
Healthy-25,1,1,1,1,1,1,0,1,right,standard,mshf
Healthy-26,1,1,1,1,1,1,0,1,right,standard,mshf
Local1-1,1,1,1,1,1,1,1,0,left,standard,mshf
Local1-2,0,1,1,1,1,1,0,1,right,standard,mshf
Local1-3,1,1,1,1,1,1,0,1,right,standard,mshf
Local1-4,0,1,1,1,1,1,1,0,left,standard,mshf
Local1-5,0,1,1,1,1,1,1,0,left,standard,mshf
Local1-6,0,1,1,1,1,1,1,0,left,standard,mshf
