name,illumination,contrast,clarity,artifacts,field,quality,left,right,left_or_right,fundus_image_type,source,image_path
Glaucoma-1,0,0,0,1,1,0,1.0,0.0,left,standard,mshf,/N/project/retinal_images/datasets/mshf/MSHF dataset 2.0/Original/combined/Glaucoma-1.jpg
Glaucoma-2,0,0,0,1,1,0,1.0,0.0,left,standard,mshf,/N/project/retinal_images/datasets/mshf/MSHF dataset 2.0/Original/combined/Glaucoma-2.jpg
Glaucoma-3,0,0,0,1,1,0,0.0,1.0,right,standard,mshf,/N/project/retinal_images/datasets/mshf/MSHF dataset 2.0/Original/combined/Glaucoma-3.jpg
Glaucoma-4,0,0,0,1,1,0,0.0,1.0,right,standard,mshf,/N/project/retinal_images/datasets/mshf/MSHF dataset 2.0/Original/combined/Glaucoma-4.jpg
Glaucoma-5,1,1,0,1,1,0,1.0,0.0,left,standard,mshf,/N/project/retinal_images/datasets/mshf/MSHF dataset 2.0/Original/combined/Glaucoma-5.jpg
Glaucoma-6,0,0,0,1,1,1,1.0,0.0,left,standard,mshf,/N/project/retinal_images/datasets/mshf/MSHF dataset 2.0/Original/combined/Glaucoma-6.jpg
Glaucoma-7,0,0,0,1,1,0,0.0,1.0,right,standard,mshf,/N/project/retinal_images/datasets/mshf/MSHF dataset 2.0/Original/combined/Glaucoma-7.jpg
Glaucoma-8,0,0,1,1,1,0,0.0,1.0,right,standard,mshf,/N/project/retinal_images/datasets/mshf/MSHF dataset 2.0/Original/combined/Glaucoma-8.jpg
Glaucoma-9,1,1,1,1,1,1,1.0,0.0,left,standard,mshf,/N/project/retinal_images/datasets/mshf/MSHF dataset 2.0/Original/combined/Glaucoma-9.jpg
Glaucoma-10,0,1,1,1,1,1,0.0,1.0,right,standard,mshf,/N/project/retinal_images/datasets/mshf/MSHF dataset 2.0/Original/combined/Glaucoma-10.jpg
Glaucoma-11,0,0,0,1,1,0,1.0,0.0,left,standard,mshf,/N/project/retinal_images/datasets/mshf/MSHF dataset 2.0/Original/combined/Glaucoma-11.jpg
Glaucoma-12,0,0,0,1,1,0,0.0,1.0,right,standard,mshf,/N/project/retinal_images/datasets/mshf/MSHF dataset 2.0/Original/combined/Glaucoma-12.jpg
Glaucoma-13,0,1,1,1,1,1,0.0,1.0,right,standard,mshf,/N/project/retinal_images/datasets/mshf/MSHF dataset 2.0/Original/combined/Glaucoma-13.jpg
Glaucoma-14,0,0,0,1,1,0,0.0,1.0,right,standard,mshf,/N/project/retinal_images/datasets/mshf/MSHF dataset 2.0/Original/combined/Glaucoma-14.jpg
Glaucoma-15,1,1,0,1,1,1,1.0,0.0,left,standard,mshf,/N/project/retinal_images/datasets/mshf/MSHF dataset 2.0/Original/combined/Glaucoma-15.jpg
