name,illumination,contrast,clarity,artifacts,field,quality,left,right,left_or_right,fundus_image_type,source,image_path
DR-001,1,1,1,0,1,0,1.0,0.0,left,ultrawidefield,uwf_iqa,/N/project/retinal_images/datasets/ultrawide_image_quality_assessment/Original UWF Image/combined/DR-001.jpg
DR-002,1,1,1,1,1,1,0.0,1.0,right,ultrawidefield,uwf_iqa,/N/project/retinal_images/datasets/ultrawide_image_quality_assessment/Original UWF Image/combined/DR-002.jpg
DR-003,1,0,0,0,0,0,1.0,0.0,left,ultrawidefield,uwf_iqa,/N/project/retinal_images/datasets/ultrawide_image_quality_assessment/Original UWF Image/combined/DR-003.jpg
DR-004,1,1,1,1,1,1,0.0,1.0,right,ultrawidefield,uwf_iqa,/N/project/retinal_images/datasets/ultrawide_image_quality_assessment/Original UWF Image/combined/DR-004.jpg
DR-005,0,1,1,1,1,1,1.0,0.0,left,ultrawidefield,uwf_iqa,/N/project/retinal_images/datasets/ultrawide_image_quality_assessment/Original UWF Image/combined/DR-005.jpg
DR-006,1,1,1,1,1,1,0.0,1.0,right,ultrawidefield,uwf_iqa,/N/project/retinal_images/datasets/ultrawide_image_quality_assessment/Original UWF Image/combined/DR-006.jpg
DR-007,1,1,1,1,1,1,1.0,0.0,left,ultrawidefield,uwf_iqa,/N/project/retinal_images/datasets/ultrawide_image_quality_assessment/Original UWF Image/combined/DR-007.jpg
DR-008,1,1,1,1,1,1,0.0,1.0,right,ultrawidefield,uwf_iqa,/N/project/retinal_images/datasets/ultrawide_image_quality_assessment/Original UWF Image/combined/DR-008.jpg
DR-009,0,0,1,0,1,0,1.0,0.0,left,ultrawidefield,uwf_iqa,/N/project/retinal_images/datasets/ultrawide_image_quality_assessment/Original UWF Image/combined/DR-009.jpg
DR-010,0,1,1,0,1,1,0.0,1.0,right,ultrawidefield,uwf_iqa,/N/project/retinal_images/datasets/ultrawide_image_quality_assessment/Original UWF Image/combined/DR-010.jpg
DR-011,0,1,1,1,1,1,1.0,0.0,left,ultrawidefield,uwf_iqa,/N/project/retinal_images/datasets/ultrawide_image_quality_assessment/Original UWF Image/combined/DR-011.jpg
DR-012,0,1,1,1,1,1,0.0,1.0,right,ultrawidefield,uwf_iqa,/N/project/retinal_images/datasets/ultrawide_image_quality_assessment/Original UWF Image/combined/DR-012.jpg
DR-013,0,0,1,1,1,1,1.0,0.0,left,ultrawidefield,uwf_iqa,/N/project/retinal_images/datasets/ultrawide_image_quality_assessment/Original UWF Image/combined/DR-013.jpg
DR-014,0,1,1,1,1,1,0.0,1.0,right,ultrawidefield,uwf_iqa,/N/project/retinal_images/datasets/ultrawide_image_quality_assessment/Original UWF Image/combined/DR-014.jpg
DR-015,1,1,1,1,1,1,1.0,0.0,left,ultrawidefield,uwf_iqa,/N/project/retinal_images/datasets/ultrawide_image_quality_assessment/Original UWF Image/combined/DR-015.jpg
DR-016,1,1,1,1,1,1,0.0,1.0,right,ultrawidefield,uwf_iqa,/N/project/retinal_images/datasets/ultrawide_image_quality_assessment/Original UWF Image/combined/DR-016.jpg
DR-017,1,1,1,0,1,1,1.0,0.0,left,ultrawidefield,uwf_iqa,/N/project/retinal_images/datasets/ultrawide_image_quality_assessment/Original UWF Image/combined/DR-017.jpg
DR-018,1,1,1,0,1,1,0.0,1.0,right,ultrawidefield,uwf_iqa,/N/project/retinal_images/datasets/ultrawide_image_quality_assessment/Original UWF Image/combined/DR-018.jpg
DR-019,1,1,1,1,1,1,1.0,0.0,left,ultrawidefield,uwf_iqa,/N/project/retinal_images/datasets/ultrawide_image_quality_assessment/Original UWF Image/combined/DR-019.jpg
DR-020,1,1,1,1,1,1,0.0,1.0,right,ultrawidefield,uwf_iqa,/N/project/retinal_images/datasets/ultrawide_image_quality_assessment/Original UWF Image/combined/DR-020.jpg
DR-021,1,1,1,1,1,1,0.0,1.0,right,ultrawidefield,uwf_iqa,/N/project/retinal_images/datasets/ultrawide_image_quality_assessment/Original UWF Image/combined/DR-021.jpg
DR-022,1,1,1,1,1,1,1.0,0.0,left,ultrawidefield,uwf_iqa,/N/project/retinal_images/datasets/ultrawide_image_quality_assessment/Original UWF Image/combined/DR-022.jpg
DR-023,1,1,1,1,1,1,1.0,0.0,left,ultrawidefield,uwf_iqa,/N/project/retinal_images/datasets/ultrawide_image_quality_assessment/Original UWF Image/combined/DR-023.jpg
DR-024,1,1,1,1,1,1,0.0,1.0,right,ultrawidefield,uwf_iqa,/N/project/retinal_images/datasets/ultrawide_image_quality_assessment/Original UWF Image/combined/DR-024.jpg
DR-025,1,0,0,0,0,0,1.0,0.0,left,ultrawidefield,uwf_iqa,/N/project/retinal_images/datasets/ultrawide_image_quality_assessment/Original UWF Image/combined/DR-025.jpg
DR-026,1,1,1,1,1,1,0.0,1.0,right,ultrawidefield,uwf_iqa,/N/project/retinal_images/datasets/ultrawide_image_quality_assessment/Original UWF Image/combined/DR-026.jpg
DR-027,1,0,1,1,1,1,1.0,0.0,left,ultrawidefield,uwf_iqa,/N/project/retinal_images/datasets/ultrawide_image_quality_assessment/Original UWF Image/combined/DR-027.jpg
